Species,Light,Nitrogen,Humidity,Temperature,GrowthRate
P.ostreotus,0,0,Low,20,23.9
P.ostreotus,10,0,Low,20,34.1
P.ostreotus,20,0,Low,20,134.8
P.ostreotus,0,5,Low,20,44.5
P.ostreotus,10,5,Low,20,44.3
P.ostreotus,20,5,Low,20,81.1
P.ostreotus,0,10,Low,20,31.8
P.ostreotus,10,10,Low,20,53.6
P.ostreotus,20,10,Low,20,167.6
P.ostreotus,0,20,Low,20,109.4
P.ostreotus,10,20,Low,20,93.4
P.ostreotus,20,20,Low,20,138.1
P.ostreotus,0,25,Low,20,117
P.ostreotus,10,25,Low,20,123
P.ostreotus,20,25,Low,20,197.1
P.ostreotus,0,30,Low,20,40.6
P.ostreotus,10,30,Low,20,59.1
P.ostreotus,20,30,Low,20,212
P.ostreotus,0,35,Low,20,56.2
P.ostreotus,10,35,Low,20,61.1
P.ostreotus,20,35,Low,20,110.6
P.ostreotus,0,40,Low,20,55.3
P.ostreotus,10,40,Low,20,45.7
P.ostreotus,20,40,Low,20,106.2
P.ostreotus,0,45,Low,20,20.7
P.ostreotus,10,45,Low,20,43
P.ostreotus,20,45,Low,20,70.3
P.ostreotus,0,0,High,20,28.7
P.ostreotus,10,0,High,20,39.7
P.ostreotus,20,0,High,20,88.9
P.ostreotus,0,5,High,20,24.3
P.ostreotus,10,5,High,20,44.4
P.ostreotus,20,5,High,20,155.2
P.ostreotus,0,10,High,20,81.2
P.ostreotus,10,10,High,20,68.7
P.ostreotus,20,10,High,20,192
P.ostreotus,0,20,High,20,86.1
P.ostreotus,10,20,High,20,102.9
P.ostreotus,20,20,High,20,140.3
P.ostreotus,0,25,High,20,126.4
P.ostreotus,10,25,High,20,102.4
P.ostreotus,20,25,High,20,161.8
P.ostreotus,0,30,High,20,51.7
P.ostreotus,10,30,High,20,69.7
P.ostreotus,20,30,High,20,130.8
P.ostreotus,0,35,High,20,88.9
P.ostreotus,10,35,High,20,70.9
P.ostreotus,20,35,High,20,126.1
P.ostreotus,0,40,High,20,26.3
P.ostreotus,10,40,High,20,60.2
P.ostreotus,20,40,High,20,121.3
P.ostreotus,0,45,High,20,19.6
P.ostreotus,10,45,High,20,46.5
P.ostreotus,20,45,High,20,87.3
P.ostreotus,0,0,Low,25,11.9
P.ostreotus,10,0,Low,25,26.3
P.ostreotus,20,0,Low,25,71.3
P.ostreotus,0,5,Low,25,21
P.ostreotus,10,5,Low,25,37.3
P.ostreotus,20,5,Low,25,77.9
P.ostreotus,0,10,Low,25,25
P.ostreotus,10,10,Low,25,44.1
P.ostreotus,20,10,Low,25,118.4
P.ostreotus,0,20,Low,25,132
P.ostreotus,10,20,Low,25,79.1
P.ostreotus,20,20,Low,25,153
P.ostreotus,0,25,Low,25,97.3
P.ostreotus,10,25,Low,25,95.1
P.ostreotus,20,25,Low,25,141.8
P.ostreotus,0,30,Low,25,31.1
P.ostreotus,10,30,Low,25,55.5
P.ostreotus,20,30,Low,25,94.5
P.ostreotus,0,35,Low,25,29.3
P.ostreotus,10,35,Low,25,50.6
P.ostreotus,20,35,Low,25,85.4
P.ostreotus,0,40,Low,25,59.4
P.ostreotus,10,40,Low,25,33.8
P.ostreotus,20,40,Low,25,78.8
P.ostreotus,0,45,Low,25,14.2
P.ostreotus,10,45,Low,25,29.3
P.ostreotus,20,45,Low,25,89.8
P.ostreotus,0,0,High,25,22.2
P.ostreotus,10,0,High,25,69.1
P.ostreotus,20,0,High,25,155.3
P.ostreotus,0,5,High,25,33.8
P.ostreotus,10,5,High,25,54.2
P.ostreotus,20,5,High,25,183.6
P.ostreotus,0,10,High,25,91.4
P.ostreotus,10,10,High,25,112.6
P.ostreotus,20,10,High,25,202
P.ostreotus,0,20,High,25,171.9
P.ostreotus,10,20,High,25,136.4
P.ostreotus,20,20,High,25,214
P.ostreotus,0,25,High,25,106.2
P.ostreotus,10,25,High,25,131.2
P.ostreotus,20,25,High,25,203.4
P.ostreotus,0,30,High,25,70.9
P.ostreotus,10,30,High,25,84
P.ostreotus,20,30,High,25,203.4
P.ostreotus,0,35,High,25,103.5
P.ostreotus,10,35,High,25,109.7
P.ostreotus,20,35,High,25,218.5
P.ostreotus,0,40,High,25,100
P.ostreotus,10,40,High,25,62.6
P.ostreotus,20,40,High,25,159.4
P.ostreotus,0,45,High,25,80.8
P.ostreotus,10,45,High,25,61.4
P.ostreotus,20,45,High,25,117.4
P.cornucopiae,0,0,Low,20,13.6
P.cornucopiae,10,0,Low,20,21.9
P.cornucopiae,20,0,Low,20,102.7
P.cornucopiae,0,5,Low,20,15.8
P.cornucopiae,10,5,Low,20,29.2
P.cornucopiae,20,5,Low,20,125.1
P.cornucopiae,0,10,Low,20,28.5
P.cornucopiae,10,10,Low,20,34.3
P.cornucopiae,20,10,Low,20,91
P.cornucopiae,0,20,Low,20,47.3
P.cornucopiae,10,20,Low,20,57.2
P.cornucopiae,20,20,Low,20,99.4
P.cornucopiae,0,25,Low,20,61.6
P.cornucopiae,10,25,Low,20,87.3
P.cornucopiae,20,25,Low,20,96.8
P.cornucopiae,0,30,Low,20,23.5
P.cornucopiae,10,30,Low,20,36.1
P.cornucopiae,20,30,Low,20,85.6
P.cornucopiae,0,35,Low,20,23.6
P.cornucopiae,10,35,Low,20,32.1
P.cornucopiae,20,35,Low,20,57.5
P.cornucopiae,0,40,Low,20,10.8
P.cornucopiae,10,40,Low,20,24.3
P.cornucopiae,20,40,Low,20,72.1
P.cornucopiae,0,45,Low,20,13.5
P.cornucopiae,10,45,Low,20,29.3
P.cornucopiae,20,45,Low,20,71.1
P.cornucopiae,0,0,High,20,110.2
P.cornucopiae,10,0,High,20,113.1
P.cornucopiae,20,0,High,20,339
P.cornucopiae,0,5,High,20,72.5
P.cornucopiae,10,5,High,20,150.8
P.cornucopiae,20,5,High,20,499.4
P.cornucopiae,0,10,High,20,179.5
P.cornucopiae,10,10,High,20,199.5
P.cornucopiae,20,10,High,20,427.2
P.cornucopiae,0,20,High,20,226.5
P.cornucopiae,10,20,High,20,256.6
P.cornucopiae,20,20,High,20,664.7
P.cornucopiae,0,25,High,20,196.3
P.cornucopiae,10,25,High,20,298.3
P.cornucopiae,20,25,High,20,577.3
P.cornucopiae,0,30,High,20,185.6
P.cornucopiae,10,30,High,20,248
P.cornucopiae,20,30,High,20,437.8
P.cornucopiae,0,35,High,20,159.5
P.cornucopiae,10,35,High,20,208.5
P.cornucopiae,20,35,High,20,516.5
P.cornucopiae,0,40,High,20,232.7
P.cornucopiae,10,40,High,20,143
P.cornucopiae,20,40,High,20,311.1
P.cornucopiae,0,45,High,20,130.9
P.cornucopiae,10,45,High,20,132.2
P.cornucopiae,20,45,High,20,283.7
P.cornucopiae,0,0,Low,25,16.1
P.cornucopiae,10,0,Low,25,30.6
P.cornucopiae,20,0,Low,25,134.1
P.cornucopiae,0,5,Low,25,56
P.cornucopiae,10,5,Low,25,41.8
P.cornucopiae,20,5,Low,25,100.6
P.cornucopiae,0,10,Low,25,45.7
P.cornucopiae,10,10,Low,25,53.8
P.cornucopiae,20,10,Low,25,107.1
P.cornucopiae,0,20,Low,25,72.5
P.cornucopiae,10,20,Low,25,96.9
P.cornucopiae,20,20,Low,25,124.9
P.cornucopiae,0,25,Low,25,117.7
P.cornucopiae,10,25,Low,25,105.4
P.cornucopiae,20,25,Low,25,209.6
P.cornucopiae,0,30,Low,25,74.3
P.cornucopiae,10,30,Low,25,74.5
P.cornucopiae,20,30,Low,25,90.7
P.cornucopiae,0,35,Low,25,29
P.cornucopiae,10,35,Low,25,49.7
P.cornucopiae,20,35,Low,25,182.8
P.cornucopiae,0,40,Low,25,53.8
P.cornucopiae,10,40,Low,25,41.2
P.cornucopiae,20,40,Low,25,114.4
P.cornucopiae,0,45,Low,25,8.2
P.cornucopiae,10,45,Low,25,43.7
P.cornucopiae,20,45,Low,25,72.5
P.cornucopiae,0,0,High,25,38.6
P.cornucopiae,10,0,High,25,127.9
P.cornucopiae,20,0,High,25,215.1
P.cornucopiae,0,5,High,25,32.9
P.cornucopiae,10,5,High,25,85.7
P.cornucopiae,20,5,High,25,295
P.cornucopiae,0,10,High,25,99.9
P.cornucopiae,10,10,High,25,111.4
P.cornucopiae,20,10,High,25,368.8
P.cornucopiae,0,20,High,25,180.5
P.cornucopiae,10,20,High,25,176.6
P.cornucopiae,20,20,High,25,249.4
P.cornucopiae,0,25,High,25,127.3
P.cornucopiae,10,25,High,25,193.9
P.cornucopiae,20,25,High,25,288.9
P.cornucopiae,0,30,High,25,106.5
P.cornucopiae,10,30,High,25,149.1
P.cornucopiae,20,30,High,25,190.4
P.cornucopiae,0,35,High,25,70.4
P.cornucopiae,10,35,High,25,119
P.cornucopiae,20,35,High,25,228.4
P.cornucopiae,0,40,High,25,78.1
P.cornucopiae,10,40,High,25,75.8
P.cornucopiae,20,40,High,25,196.2
P.cornucopiae,0,45,High,25,41
P.cornucopiae,10,45,High,25,61.2
P.cornucopiae,20,45,High,25,137
